Name,Address,Latitude,Longitude,Provider1,Providerprice1,Provider2,Providerprice2,Provider3,Providerprice3,Provider4,Providerprice4,Provider5,Providerprice5,URL
Hotel 26,"Gruenberger Str. 26, 10245 Berlín Alemania",52.51235199,13.45141125,Tripadvisor,116.26,Booking.com,,Agoda.com,,,,,,https://www.tripadvisor.es/Hotel_Review-g187323-d608412-Reviews-Hotel_26-Berlin.html
Hotel Rossi,"Lehrter Str. 66, 10557 Berlín Alemania",52.52801895,13.36371517,Tripadvisor,116.26,Booking.com,,Agoda.com,,Trip.com,,,,https://www.tripadvisor.es/Hotel_Review-g187323-d12697452-Reviews-Hotel_Rossi-Berlin.html
Schlosspark Hotel,"Heubnerweg 2a Charlottenburg, 14059 Berlín Alemania",52.52227402,13.28972721,Tripadvisor,116.26,Booking.com,,Agoda.com,,,,,,https://www.tripadvisor.es/Hotel_Review-g187323-d232609-Reviews-Schlosspark_Hotel-Berlin.html
Movenpick Hotel Berlin,"Schoeneberger Strasse 3 beim Potsdamer Platz, 10963 Berlín Alemania",52.5038681,13.38047791,Movenpick,116.0393,Tripadvisor,103.77,Booking.com,,Hotels.com,,Agoda.com,,https://www.tripadvisor.es/Hotel_Review-g187323-d279742-Reviews-Movenpick_Hotel_Berlin-Berlin.html
Grimm’s Hotel,"Alte Jakobstr. 100, 10179 Berlín Alemania",52.50849152,13.40503693,Tripadvisor,115.36,Booking.com,,Agoda.com,,Trip.com,,,,https://www.tripadvisor.es/Hotel_Review-g187323-d1960510-Reviews-Grimm_s_Hotel-Berlin.html
Henri Hotel,"Meinekestraße 9, 10719 Berlín Alemania",52.50097275,13.32857037,Tripadvisor,115.2,Booking.com,,Hotels.com,,Agoda.com,,Expedia,,https://www.tripadvisor.es/Hotel_Review-g187323-d228329-Reviews-Henri_Hotel-Berlin.html
Michelberger Hotel,"Warschauer Str. 39/40, 10243 Berlín Alemania",52.50469208,13.44779968,Tripadvisor,114.24,Booking.com,,Hotels.com,,Expedia,113.7761,Agoda.com,,https://www.tripadvisor.es/Hotel_Review-g187323-d1483628-Reviews-Michelberger_Hotel-Berlin.html
Vienna House Easy Berlin,"Storkower Str. 162, 10407 Berlín Alemania",52.52941513,13.45689106,Tripadvisor,114.24,Booking.com,,Agoda.com,,Trip.com,,,,https://www.tripadvisor.es/Hotel_Review-g187323-d10823630-Reviews-Vienna_House_Easy_Berlin-Berlin.html
"Hotel Indigo Berlin - Ku'Damm, an IHG Hotel","Hardenbergstrasse 15, 10623 Berlín Alemania",52.5080452,13.32816792,HotelIndigo.com,114.0166,Tripadvisor,114.24,Booking.com,,Hotels.com,,Agoda.com,,https://www.tripadvisor.es/Hotel_Review-g187323-d2345947-Reviews-Hotel_Indigo_Berlin_Ku_Damm_an_IHG_Hotel-Berlin.html
Hotel Transit Loft,"Immanuelkirchstr. 14A, 10405 Berlín Alemania",52.53142166,13.42522335,Tripadvisor,112,Booking.com,,Hotels.com,,Expedia,117.1224,Agoda.com,,https://www.tripadvisor.es/Hotel_Review-g187323-d278173-Reviews-Hotel_Transit_Loft-Berlin.html
Living Hotel Grosser Kurfuerst,"Neue Roßstr. 11 - 12, 10179 Berlín Alemania",52.51207733,13.40889454,Tripadvisor,110.93,Booking.com,,Hotels.com,,Agoda.com,,Expedia,,https://www.tripadvisor.es/Hotel_Review-g187323-d202654-Reviews-Living_Hotel_Grosser_Kurfuerst-Berlin.html
Goodman's Living,"Wilmersdorfer Str. 36, 10585 Berlín Alemania",52.5122261,13.30491447,Tripadvisor,110.5,Booking.com,,Hotels.com,,Agoda.com,,Expedia,,https://www.tripadvisor.es/Hotel_Review-g187323-d2651645-Reviews-Goodman_s_Living-Berlin.html
Concorde Hotel Am Studio,"Kaiserdamm 80-81, 14057 Berlín Alemania",52.50957108,13.27739429,Tripadvisor,110.4,Booking.com,,Hotels.com,,Agoda.com,,Expedia,,https://www.tripadvisor.es/Hotel_Review-g187323-d292798-Reviews-Concorde_Hotel_Am_Studio-Berlin.html
Capri by Fraser Berlin,"Scharrenstrasse 22, 10178 Berlín Alemania",52.51397705,13.40509319,Tripadvisor,109.76,Booking.com,,Hotels.com,,Official Site,,Agoda.com,,https://www.tripadvisor.es/Hotel_Review-g187323-d12419465-Reviews-Capri_by_Fraser_Berlin-Berlin.html
Augusta Hotel,"Fasanenstr. 22, 10719 Berlín Alemania",52.50241089,13.32698536,Tripadvisor,108.64,Booking.com,,Hotels.com,,Agoda.com,,Expedia,,https://www.tripadvisor.es/Hotel_Review-g187323-d232612-Reviews-Augusta_Hotel-Berlin.html
Max Brown Hotel Ku'damm,"Uhlandstr. 49 10719 Berlin, 10719 Berlín Alemania",52.49684525,13.3239584,Tripadvisor,107.57,Booking.com,,Hotels.com,,Official Site,,Agoda.com,,https://www.tripadvisor.es/Hotel_Review-g187323-d200326-Reviews-Max_Brown_Hotel_Ku_damm-Berlin.html
Hampton by Hilton Berlin City West,"Uhlandstrasse 188 - 189, 10623 Berlín Alemania",52.504879,13.32596397,Tripadvisor,107.34,Booking.com,,Hotels.com,,Expedia,106.9021,Hampton,,https://www.tripadvisor.es/Hotel_Review-g187323-d1858856-Reviews-Hampton_by_Hilton_Berlin_City_West-Berlin.html
Novotel Berlin Am Tiergarten,"Strasse des 17. Juni 106-108, 10623 Berlín Alemania",52.51414871,13.33527946,Novotel,106.458,Tripadvisor,106.66,Booking.com,,Expedia,106.5717,Hotels.com,,https://www.tripadvisor.es/Hotel_Review-g187323-d502108-Reviews-Novotel_Berlin_Am_Tiergarten-Berlin.html
Down Town Motel,"Mueggelheimer Damm 267/273, 12559 Berlín Alemania",52.43239975,13.60859966,Tripadvisor,105.6,Hotels.com,,Booking.com,,Agoda.com,,Expedia,,https://www.tripadvisor.es/Hotel_Review-g187323-d3370380-Reviews-Down_Town_Motel-Berlin.html
Hotel Morgenland,"Finckensteinallee 23-27, 12205 Berlín Alemania",52.43196106,13.30521965,Tripadvisor,105.6,Booking.com,,Hotels.com,,Agoda.com,,Expedia,,https://www.tripadvisor.es/Hotel_Review-g187323-d217907-Reviews-Hotel_Morgenland-Berlin.html
Pentahotel Berlin-Koepenick,"Gruenauer Str. 1, 12557 Berlín Alemania",52.44386292,13.56960487,Tripadvisor,105.28,Booking.com,,Hotels.com,,Official Hotel,106.458,Agoda.com,,https://www.tripadvisor.es/Hotel_Review-g187323-d199436-Reviews-Pentahotel_Berlin_Koepenick-Berlin.html
"Holiday Inn Berlin Airport - Conf Centre, An IHG Hotel","Hans-Grade-Allee 5, 12529 Berlín Alemania",52.38910294,13.49875832,Tripadvisor,105.07,Booking.com,,Hotels.com,,Agoda.com,,Expedia,,https://www.tripadvisor.es/Hotel_Review-g187323-d199377-Reviews-Holiday_Inn_Berlin_Airport_Conf_Centre_An_IHG_Hotel-Berlin.html
Hotel Blumenbach,"Blumenbachweg 40 Ecke Bleinheimstrasse, 12685 Berlín Alemania",52.54124832,13.55459023,Tripadvisor,104.34,Booking.com,,Agoda.com,,,,,,https://www.tripadvisor.es/Hotel_Review-g187323-d7794366-Reviews-Hotel_Blumenbach-Berlin.html
LOGINN Hotel Berlin Airport,"Schützenstrasse 33, 12526 Berlín Alemania",52.39880753,13.54131603,Expedia,103.4365,Hotels.com,,,,,,,,https://www.tripadvisor.es/Hotel_Review-g187323-d24958014-Reviews-LOGINN_Hotel_Berlin_Airport-Berlin.html
Pension Peters,"Kantstr. 146 Charlottenburg, 10623 Berlín Alemania",52.50555038,13.32352734,Tripadvisor,102.4,Booking.com,,Hotels.com,,Agoda.com,,Expedia,,https://www.tripadvisor.es/Hotel_Review-g187323-d629788-Reviews-Pension_Peters-Berlin.html
Yggotel Ravn,"Albrecht-Achilles-Str. 57 Am Kurfürstendamm, 10709 Berlín Alemania",52.49577332,13.30349159,Tripadvisor,100.48,Booking.com,,Hotels.com,,Agoda.com,,Expedia,,https://www.tripadvisor.es/Hotel_Review-g187323-d277120-Reviews-Yggotel_Ravn-Berlin.html
