,Neighbourhood,Neighbourhood Latitude,Neighbourhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
125,Geuzenveld - Slotermeer,52.37938,4.81556,Şerifoğlu Gaziantep Baklavacısı,52.38070769936552,4.820165634155273,Dessert Shop
126,Geuzenveld - Slotermeer,52.37938,4.81556,Şerifoğlu Café & Patisserie,52.38038069742179,4.8206722673954925,Dessert Shop
127,Geuzenveld - Slotermeer,52.37938,4.81556,Meram West,52.38023296121058,4.820814088280693,Turkish Restaurant
128,Geuzenveld - Slotermeer,52.37938,4.81556,Istanbul Steak House,52.380516,4.820875,Turkish Restaurant
129,Geuzenveld - Slotermeer,52.37938,4.81556,BeyMen Steakhouse & Cafe,52.3805667015349,4.821009615807667,Turkish Restaurant
130,Geuzenveld - Slotermeer,52.37938,4.81556,Coffeemania Slotermeer,52.3787,4.81992,Café
131,Geuzenveld - Slotermeer,52.37938,4.81556,Tram 13 Geuzenveld - Centraal Station,52.37586832242552,4.814019215202811,Tram Station
132,Geuzenveld - Slotermeer,52.37938,4.81556,ChiqueOLatte,52.379908713007985,4.821978807449341,Coffee Shop
133,Geuzenveld - Slotermeer,52.37938,4.81556,Deep Indian,52.378555949432275,4.813148986046178,Indian Restaurant
134,Geuzenveld - Slotermeer,52.37938,4.81556,DekaMarkt,52.3766003,4.8189586,Supermarket
135,Geuzenveld - Slotermeer,52.37938,4.81556,Juice Bar De Watersnip,52.377158403396606,4.816356897354126,Juice Bar
136,Geuzenveld - Slotermeer,52.37938,4.81556,Döner Plaza,52.38082090966698,4.821073110680584,Turkish Restaurant
137,Geuzenveld - Slotermeer,52.37938,4.81556,New York Pizza Company,52.37720184825441,4.812685274649335,Pizza Place
138,Geuzenveld - Slotermeer,52.37938,4.81556,Bakkerij Derya,52.37795420311244,4.81989333845671,Bakery
139,Geuzenveld - Slotermeer,52.37938,4.81556,Aiki-budo,52.376859481539654,4.812532183362109,Sporting Goods Shop
140,Geuzenveld - Slotermeer,52.37938,4.81556,Ronin Budo Equipment,52.376811,4.812533,Sporting Goods Shop
141,Geuzenveld - Slotermeer,52.37938,4.81556,Meram Burger,52.380195,4.82067,Burger Joint
142,Geuzenveld - Slotermeer,52.37938,4.81556,Tram/Bus-halte Lodewijk Van Deysselstraat,52.37727803933329,4.819687838426024,Bus Stop
143,Geuzenveld - Slotermeer,52.37938,4.81556,Restaurant Blue Square Hotel,52.37862830818974,4.820987695753315,Restaurant
144,Geuzenveld - Slotermeer,52.37938,4.81556,XO Hotel Infinity,52.380806,4.820747,Hotel
145,Geuzenveld - Slotermeer,52.37938,4.81556,Tramhalte Burg. v. Leeuwenlaan,52.376494742484674,4.812107216337886,Tram Station
146,Geuzenveld - Slotermeer,52.37938,4.81556,Action,52.38077842425091,4.821039924823705,Discount Store
147,Geuzenveld - Slotermeer,52.37938,4.81556,Febo,52.3811554,4.82098431,Snack Place
148,Geuzenveld - Slotermeer,52.37938,4.81556,Halal Fried Chicken,52.379787,4.821881,Fast Food Restaurant
149,Geuzenveld - Slotermeer,52.37938,4.81556,Jumbo,52.380655,4.821771,Supermarket
150,Geuzenveld - Slotermeer,52.37938,4.81556,Bushalte Anthony Moddermanstraat,52.383294796445675,4.813861639619291,Bus Stop
151,Geuzenveld - Slotermeer,52.37938,4.81556,Etos,52.38060291509315,4.822225570678711,Pharmacy
152,Geuzenveld - Slotermeer,52.37938,4.81556,Gall & Gall,52.37994286939411,4.822780631745708,Liquor Store
153,Osdorp,52.35251,4.79768,KEYF CAFE,52.351396397205285,4.7965994662101865,Café
154,Osdorp,52.35251,4.79768,Basic-Fit,52.350808359785304,4.795230780543993,Gym
155,Osdorp,52.35251,4.79768,Tuincentrum Osdorp,52.351863913456036,4.790668268279103,Garden Center
156,Osdorp,52.35251,4.79768,Albert Heijn,52.35215769141597,4.79949761513138,Supermarket
157,Osdorp,52.35251,4.79768,Leziz Restaurant,52.35169859048194,4.798447103054376,Mediterranean Restaurant
158,Osdorp,52.35251,4.79768,Cafetaria Eethuis Family,52.35177995961844,4.798943774435929,Snack Place
159,Osdorp,52.35251,4.79768,Taco Mundo,52.35223974660736,4.80127661273474,Mexican Restaurant
160,Osdorp,52.35251,4.79768,Picknick Spot Don & Josien,52.349858147355626,4.7998118421661085,Park
161,Osdorp,52.35251,4.79768,Tramhalte Hoekenes,52.35246887593561,4.802484995485996,Tram Station
162,Osdorp,52.35251,4.79768,Trampoline Baden Powellweg,52.349151611328125,4.79625129699707,Playground
163,De Aker - Nieuw Sloten,52.34274,4.79123,Molen van Sloten,52.34157969249928,4.792270660400391,Monument / Landmark
164,De Aker - Nieuw Sloten,52.34274,4.79123,De Patatza(a)k,52.34146,4.79253,Snack Place
165,De Aker - Nieuw Sloten,52.34274,4.79123,Speeltuin Sloten,52.34170280814588,4.795679272255508,Playground
166,De Aker - Nieuw Sloten,52.34274,4.79123,IJshoeve,52.341324,4.793758,Ice Cream Shop
167,De Aker - Nieuw Sloten,52.34274,4.79123,Restaurant De Halve Maen,52.34122309174193,4.793097466813496,Restaurant
168,De Aker - Nieuw Sloten,52.34274,4.79123,Syriana,52.34191281246877,4.792767540319466,Middle Eastern Restaurant
169,De Aker - Nieuw Sloten,52.34274,4.79123,SBHC Xenios,52.3394501646127,4.795645520588192,Hockey Field
170,De Aker - Nieuw Sloten,52.34467,4.79001,Molen van Sloten,52.34157969249928,4.792270660400391,Monument / Landmark
171,De Aker - Nieuw Sloten,52.34467,4.79001,De Patatza(a)k,52.34146,4.79253,Snack Place
172,De Aker - Nieuw Sloten,52.34467,4.79001,IJshoeve,52.341324,4.793758,Ice Cream Shop
173,De Aker - Nieuw Sloten,52.34467,4.79001,Syriana,52.34191281246877,4.792767540319466,Middle Eastern Restaurant
174,De Aker - Nieuw Sloten,52.34467,4.79001,Restaurant De Halve Maen,52.34122309174193,4.793097466813496,Restaurant
175,De Aker - Nieuw Sloten,52.34364,4.7908,Molen van Sloten,52.34157969249928,4.792270660400391,Monument / Landmark
176,De Aker - Nieuw Sloten,52.34364,4.7908,De Patatza(a)k,52.34146,4.79253,Snack Place
177,De Aker - Nieuw Sloten,52.34364,4.7908,Speeltuin Sloten,52.34170280814588,4.795679272255508,Playground
178,De Aker - Nieuw Sloten,52.34364,4.7908,IJshoeve,52.341324,4.793758,Ice Cream Shop
179,De Aker - Nieuw Sloten,52.34364,4.7908,Syriana,52.34191281246877,4.792767540319466,Middle Eastern Restaurant
